Dataset,Model,Memory Size (MB),Latency (ms),Accuracy,Bits,Precision,Recall,F1-score,Throughput (samples/sec),Energy Consumption (kWh)
WNLI,BERT-base,417.6552810668945,112.77395426667076,0.5633802816901409,32,0.3173973417972625,0.5633802816901409,0.4060398426595609,141.8767312367679,9.253896291606164e-05
WNLI,DistilBERT,255.41699981689453,18.2668425666634,0.5633802816901409,32,0.3173973417972625,0.5633802816901409,0.4060398426595609,875.9039741876169,5.244066567001326e-05
RTE,DistilBERT,255.41699981689453,17.190716100003556,0.6101083032490975,32,0.6161424046152757,0.6101083032490975,0.5951231495524747,930.734933142005,5.067806969753401e-05
RTE,BERT-base,417.6552810668945,28.8691589666693,0.6714801444043321,32,0.6715671303079767,0.6714801444043321,0.669530574516584,554.2246664848359,9.056291021182184e-05
MRPC,DistilBERT,255.41699981689453,17.09723143332364,0.8553921568627451,32,0.8538416884972613,0.8553921568627451,0.8507347365804588,935.8240287263668,5.027548648342826e-05
MRPC,BERT-base,417.6552810668945,31.97933890000968,0.8872549019607843,32,0.8859124670222305,0.8872549019607843,0.8856918120264794,500.3230382600297,8.856965300552971e-05
STS-B,DistilBERT,255.4140663146973,16.990210500004345,0.8672850337646851,32,,,,941.7187621069148,5.1379974388971605e-05
STS-B,BERT-base,417.65234756469727,28.333847899997032,0.8862107862196297,32,,,,564.6956268160696,8.938153010377898e-05
COLA,DistilBERT,255.41699981689453,17.05952989999181,0.8044103547459253,32,0.7983850924055627,0.8044103547459253,0.7985124035091737,937.8921983077438,5.088400964448685e-05
COLA,BERT-base,417.6552810668945,28.83374403333316,0.8312559923298178,32,0.827576925723864,0.8312559923298178,0.8248728348581026,554.9053907637958,9.066666364853088e-05
SST2,DistilBERT,255.41699981689453,17.03606046664087,0.9128440366972476,32,0.9128600625394008,0.9128440366972476,0.9128472469123164,939.1842692346842,0.0001226086800499
SST2,BERT-base,417.6552810668945,27.537727933304268,0.9288990825688074,32,0.92915463241652,0.9288990825688074,0.9289046932300384,581.0210645828016,8.568165395053025e-05
QNLI,BERT-base,417.6552810668945,29.82585446667751,0.9183598755262676,32,0.9184356701387516,0.9183598755262676,0.9183622007742596,536.4473302139847,8.580347391079509e-05
QNLI,DistilBERT,255.41699981689453,18.941603799991448,0.8923668314113125,32,0.89242663410288,0.8923668314113125,0.8923535337276749,844.7014396957887,4.928380331179303e-05
QQP,DistilBERT,255.41699981689453,17.358328399996026,0.90375958446698,32,0.904498486585093,0.90375958446698,0.904028319413276,921.7477415626992,4.94257908705066e-05
QQP,BERT-base,417.6552810668945,27.76882539998648,0.914222112292852,32,0.9144853031503484,0.914222112292852,0.9143328550080116,576.1856963531411,8.760110022921755e-05
MNLI,DistilBERT,255.4199333190918,19.655605399990844,0.8232297503820682,32,0.8239155177168446,0.8232297503820682,0.823475490664271,814.017155635789,4.979288730807322e-05
MNLI,BERT-base,417.6582145690918,31.70607919999687,0.8431991849210392,32,0.846162608718673,0.8431991849210392,0.843889446841071,504.63508587973183,8.838547238861107e-05
