model,task,energy_kwh
distilbert,sst2,0.00012260868004995758
bert-base,sst2,8.568165395053025e-05
distilbert,qnli,4.928380331179303e-05
bert-base,qnli,8.580347391079509e-05
distilbert,qqp,4.94257908705066e-05
bert-base,qqp,8.760110022921755e-05
distilbert,wnli,5.244066567001326e-05
bert-base,wnli,9.253896291606164e-05
distilbert,mnli,4.979288730807322e-05
bert-base,mnli,8.838547238861107e-05
distilbert,mrpc,5.0275486483428264e-05
bert-base,mrpc,8.856965300552971e-05
distilbert,stsb,5.1379974388971605e-05
bert-base,stsb,8.938153010377898e-05
distilbert,rte,5.067806969753401e-05
bert-base,rte,9.056291021182185e-05
distilbert,cola,5.088400964448685e-05
bert-base,cola,9.066666364853087e-05
